Industry	Category
Dairy	Agriculture
Farming	Agriculture
Fishery	Agriculture
Ranching	Agriculture
Arts and Crafts	Arts
Design	Arts
Fine Art	Arts
Graphic Design	Arts
Museums and Institutions	Arts
Music	Arts
Performing Arts	Arts
Photography	Arts
Architecture & Planning	Construction
Building Materials	Construction
Civil Engineering	Construction
Construction	Construction
Management Consulting	Consulting
Market Research	Consulting
Professional Training & Coaching	Consulting
Defense & Space	Defense & Military
Military	Defense & Military
Education Management	Education
E-Learning	Education
Higher Education	Education
Primary/Secondary Education	Education
Computer Games	Entertainment & Leisure
Entertainment	Entertainment & Leisure
Gambling & Casinos	Entertainment & Leisure
Hospitality	Entertainment & Leisure
Leisure, Travel & Tourism	Entertainment & Leisure
Restaurants	Entertainment & Leisure
Motion Pictures and Film	Film & Media
Animation	Film & Media
Broadcast Media	Film & Media
Media Production	Film & Media
Online Media	Film & Media
Accounting	Finance
Banking	Finance
Capital Markets	Finance
Financial Services	Finance
Insurance	Finance
Investment Banking	Finance
Investment Management	Finance
Venture Capital & Private Equity	Finance
Apparel & Fashion	Goods & Retail
Cosmetics	Goods & Retail
Furniture	Goods & Retail
Luxury Goods & Jewelry	Goods & Retail
Retail	Goods & Retail
Supermarkets	Goods & Retail
Tobacco	Goods & Retail
Wholesale	Goods & Retail
Wine and Spirits	Goods & Retail
Food & Beverages	Goods & Retail
Consumer Goods	Goods & Retail
Executive Office	Government
Government Administration	Government
Government Relations	Government
International Affairs	Government
International Trade and Development	Government
Judiciary	Government
Law Enforcement	Government
Legislative Office	Government
Political Organization	Government
Public Policy	Government
Public Safety	Government
Human Resources	HR & Staffing
Staffing and Recruiting	HR & Staffing
Alternative Dispute Resolution	Legal
Law Practice	Legal
Legal Services	Legal
Food Production	Manufacturing
Automotive	Manufacturing
Aviation & Aerospace	Manufacturing
Business Supplies and Equipment	Manufacturing
Chemicals	Manufacturing
Consumer Electronics	Manufacturing
Electrical/Electronic Manufacturing	Manufacturing
Glass, Ceramics & Concrete	Manufacturing
Industrial Automation	Manufacturing
Machinery	Manufacturing
Mechanical or Industrial Engineering	Manufacturing
Mining & Metals	Manufacturing
Oil & Energy	Manufacturing
Packaging and Containers	Manufacturing
Paper & Forest Products	Manufacturing
Plastics	Manufacturing
Railroad Manufacture	Manufacturing
Renewables & Environmental	Manufacturing
Shipbuilding	Manufacturing
Textiles	Manufacturing
Utilities	Manufacturing
Alternative Medicine	Medicine & Healthcare
Health, Wellness and Fitness	Medicine & Healthcare
Hospital & Health Care	Medicine & Healthcare
Medical Devices	Medicine & Healthcare
Medical Practice	Medicine & Healthcare
Mental Health Care	Medicine & Healthcare
Pharmaceuticals	Medicine & Healthcare
Veterinary	Medicine & Healthcare
Civic & Social Organization	Non-Profit Organizations
Fund-Raising	Non-Profit Organizations
Individual & Family Services	Non-Profit Organizations
Non-Profit Organization Management	Non-Profit Organizations
Philanthropy	Non-Profit Organizations
Nonprofit Organization Management	Non-Profit Organizations
Program Development	Non-Profit Organizations
Religious Institutions	Non-Profit Organizations
Think Tanks	Non-Profit Organizations
Logistics and Supply Chain	Operations
Outsourcing/Offshoring	Operations
Package/Freight Delivery	Operations
Import and Export	Operations
Warehousing	Operations
Marketing and Advertising	PR & Marketing
Public Relations and Communications	PR & Marketing
Libraries	Print Media
Newspapers	Print Media
Printing	Print Media
Publishing	Print Media
Writing and Editing	Print Media
Commercial Real Estate	Real Estate
Real Estate	Real Estate
Research	Research
Consumer Services	Services
Environmental Services	Services
Events Services	Services
Facilities Services	Services
Information Services	Services
Recreational Facilities and Services	Services
Security and Investigations	Services
Translation and Localization	Services
Sporting Goods	Sports
Sports	Sports
Biotechnology	Technology
Computer & Network Security	Technology
Computer Hardware	Technology
Computer Networking	Technology
Computer Software	Technology
Information Technology and Services	Technology
Internet	Technology
Nanotechnology	Technology
Semiconductors	Technology
Telecommunications	Technology
Wireless	Technology
Airlines/Aviation	Transportation
Maritime	Transportation
Transportation/Trucking/Railroad	Transportation
