Category,Icon
Manufacturing,cogs
Government,institution
Technology,laptop
Goods & Retail,shopping-cart
Medicine & Healthcare,medkit
Services,wrench
Arts,paint-brush
Non-Profit Organizations,shield
Finance,usd
Entertainment & Leisure,glass
Operations,briefcase
Print Media,book
Film & Media,film
Agriculture,pagelines
Education,graduation-cap
Construction,building
Consulting,line-chart
Legal,gavel
Transportation,train
Defense & Military,fighter-jet
HR & Staffing,user
PR & Marketing,quote-left
Real Estate,home
Sports,futbol
Research,flask
